X,Y,Z
458285.38,3640141.1,24.11
458285.26,3640141.1,23.41
458284.75,3640141.1,20.27
458284.9,3640141.11,23.97
458284.74,3640141.11,23.01
458284.34,3640141.11,20.490000000000002
458284.37,3640141.12,23.330000000000002
458284.03,3640141.12,21.240000000000002
458284.09,3640141.13,24.1
458283.9,3640141.13,22.94
458282.7,3640141.13,15.55
458282.26,3640141.14,15.860000000000001
458282.16000000003,3640141.14,15.27
458281.85,3640141.14,13.38
458280.72,3640141.14,6.43
458281.71,3640141.15,15.26
458281.37,3640141.15,13.24
458282.99,3640141.17,25.47
458282.84,3640141.17,24.55
458282.59,3640141.18,25.79
458282.44,3640141.18,24.98
458282.52,3640141.19,28.27
458281.93,3640141.19,24.79
458282.27,3640141.2,29.52
458282.16000000003,3640141.2,28.85
458281.45,3640141.2,24.560000000000002
458279.81,3640141.19,14.59
458281.79,3640141.21,29.18
458281.64,3640141.21,28.25
458281.25,3640141.21,25.900000000000002
458281.06,3640141.21,24.740000000000002
458279.99,3640141.21,18.19
458281.34,3640141.22,28.88
458280.8,3640141.22,25.59
458280.81,3640141.23,28.23
458280.63,3640141.23,27.16
458280.42,3640141.23,25.88
458279.08,3640141.23,17.73
458280.56,3640141.24,29.2
458280.37,3640141.24,28.07
458280.23,3640141.24,27.18
458278.0,3640141.24,13.63
458277.63,3640141.23,11.42
458280.71,3640141.24,32.82
458280.23,3640141.25,32.45
458280.05,3640141.25,31.38
458279.78,3640141.26,29.810000000000002
458278.83,3640141.26,24.09
458277.89,3640141.26,18.3
458279.69,3640141.26,31.91
458279.49,3640141.27,30.66
458279.33,3640141.27,29.650000000000002
458278.33,3640141.27,23.55
458278.08,3640141.27,22.06
458279.09,3640141.28,30.73
458278.96,3640141.28,29.96
458278.69,3640141.28,28.35
458278.48,3640141.28,27.05
458278.21,3640141.28,25.43
458278.72,3640141.28,31.0
458277.79,3640141.29,25.330000000000002
458278.39,3640141.29,31.61
458277.8,3640141.3,28.12
458276.79,3640141.3,22.27
458277.97,3640141.3,31.69
458277.42,3640141.31,28.51
458276.34,3640141.31,22.22
458277.62,3640141.32,32.2
458277.53,3640141.32,31.63
458276.16000000003,3640141.32,23.67
458275.43,3640141.32,19.37
458277.14,3640141.33,32.04
458275.68,3640141.33,23.52
458275.49,3640141.33,22.37
458275.02,3640141.33,19.59
458276.14,3640141.35,28.86
458275.68,3640141.35,26.18
458275.2,3640141.35,23.36
458275.25,3640141.36,26.17
458274.91000000003,3640141.36,24.17
458274.74,3640141.36,23.22
458274.36,3640141.36,20.98
458274.23,3640141.36,20.2
458275.44,3640141.37,29.830000000000002
458275.23,3640141.37,28.61
458275.13,3640141.37,28.01
458274.92,3640141.37,26.78
458274.46,3640141.37,24.12
458275.04,3640141.38,29.92
458274.88,3640141.38,28.96
458274.69,3640141.38,27.85
458274.05,3640141.38,24.04
458273.53,3640141.38,20.990000000000002
458274.64,3640141.39,30.04
458274.5,3640141.39,29.22
458274.25,3640141.39,27.78
458274.38,3640141.39,30.94
458274.27,3640141.39,30.32
458273.6,3640141.4,26.35
458273.74,3640141.41,29.72
458273.14,3640141.41,26.2
458270.9,3640141.41,12.85
458270.27,3640141.41,8.98
458273.46,3640141.41,30.560000000000002
458272.72,3640141.42,26.21
458270.55,3640141.42,13.21
458272.02,3640141.43,24.63
458271.82,3640141.43,23.42
458270.09,3640141.43,13.030000000000001
458271.59,3640141.44,24.490000000000002
458271.46,3640141.44,23.76
458269.65,3640141.44,12.76
458269.05,3640141.44,9.23
458269.91000000003,3640141.45,16.67
458269.26,3640141.45,12.82
458270.13,3640141.46,20.73
458269.5,3640141.46,16.92
458270.36,3640141.47,24.64
458267.8,3640141.47,9.370000000000001
458269.95,3640141.48,24.59
458269.0,3640141.48,18.94
458267.31,3640141.48,8.84
458269.61,3640141.49,25.11
458269.45,3640141.49,24.2
458266.89,3640141.49,8.94
458269.15,3640141.51,24.990000000000002
458266.18,3640141.5,7.44
458268.76,3640141.52,25.27
458268.23,3640141.52,22.1
458267.92,3640141.52,20.28
458266.76,3640141.52,13.31
458266.5,3640141.52,11.83
458266.18,3640141.52,10.040000000000001
458268.54,3640141.53,26.32
458268.39,3640141.53,25.38
458267.6,3640141.53,20.76
458266.06,3640141.53,11.74
458265.76,3640141.53,9.98
458268.04,3640141.54,25.75
458267.68,3640141.55,25.89
458267.53,3640141.55,25.03
458265.22,3640141.55,11.49
458267.27,3640141.56,25.92
458266.64,3640141.57,24.66
458266.14,3640141.57,21.86
458264.5,3640141.57,12.07
458266.27,3640141.58,24.92
458265.82,3640141.58,22.36
458265.33,3640141.59,21.94
458263.6,3640141.59,11.790000000000001
458264.82,3640141.6,21.25
458263.11,3640141.6,11.24
458262.71,3640141.6,8.85
458262.57,3640141.6,8.01
458262.69,3640141.61,11.05
458262.51,3640141.61,10.03
458262.29,3640141.61,8.8
458262.11,3640141.61,7.72
458262.05,3640141.62,9.92
458262.46,3640141.64,17.12
458261.96,3640141.65,16.73
458261.52,3640141.67,16.65
458261.37,3640141.68,18.26
458261.17,3640141.69,19.32
458260.97,3640141.69,18.19
458260.37,3640141.71,19.5
458260.19,3640141.71,18.41
458259.9,3640141.71,16.73
458259.9,3640141.72,19.06
458259.73,3640141.72,18.12
458259.58,3640141.72,17.3
458259.39,3640141.73,18.650000000000002
458259.14,3640141.73,17.22
458258.45,3640141.76,22.580000000000002
458258.0,3640141.77,22.43
458257.51,3640141.78,22.11
458257.18,3640141.79,20.32
458257.25,3640141.79,23.0
458257.08,3640141.79,22.0
458256.8,3640141.8,20.42
458256.79,3640141.8,22.82
458296.29,3640141.12,15.55
458296.62,3640141.14,20.73
458296.53,3640141.14,20.12
458296.56,3640141.15,23.23
458296.04,3640141.16,22.580000000000002
458295.3,3640141.16,17.77
458296.1,3640141.17,25.82
458295.41000000003,3640141.17,21.29
458295.25,3640141.17,20.27
458295.93,3640141.19,27.400000000000002
458295.7,3640141.18,25.87
458295.44,3640141.19,26.89
458295.27,3640141.19,25.830000000000002
458295.12,3640141.19,24.77
458295.16000000003,3640141.21,27.97
458294.83,3640141.2,25.78
458294.79,3640141.22,28.21
458294.63,3640141.22,27.16
458294.45,3640141.22,26.0
458291.35,3640141.21,8.73
458291.12,3640141.21,7.17
458291.36,3640141.22,11.64
458290.7,3640141.22,7.25
458291.51,3640141.24,15.21
458291.21,3640141.25,16.240000000000002
458291.03,3640141.25,15.0
458291.31,3640141.26,19.830000000000002
458290.81,3640141.26,16.46
458291.16000000003,3640141.27,21.51
458290.93,3640141.27,19.98
458290.76,3640141.28,21.76
458290.59,3640141.28,20.7
458290.83,3640141.3,25.11
458288.19,3640141.29,8.2
458290.68,3640141.31,27.07
458290.42,3640141.31,25.42
458288.33,3640141.3,12.02
458291.0,3640141.32,31.75
458290.1,3640141.32,26.14
458289.9,3640141.32,24.810000000000002
458289.79,3640141.32,24.16
458290.57,3640141.33,31.720000000000002
458290.45,3640141.33,30.95
458289.73,3640141.33,26.39
458289.51,3640141.33,24.95
458288.82,3640141.33,20.54
458290.33,3640141.34,32.79
458290.13,3640141.34,31.53
458289.93,3640141.34,32.89
458289.12,3640141.35,27.76
458288.8,3640141.36,28.54
458287.48,3640141.37,22.830000000000002
458287.98,3640141.38,28.72
458287.07,3640141.38,22.990000000000002
458286.09,3640141.38,16.82
458287.63,3640141.39,29.150000000000002
458287.53,3640141.39,28.53
458286.76,3640141.39,23.73
458286.62,3640141.39,22.900000000000002
458287.19,3640141.4,29.0
458285.97,3640141.4,21.39
458285.78,3640141.41,23.07
458285.57,3640141.41,21.76
458285.11,3640141.42,21.6
458284.88,3640141.42,20.17
458284.37,3640141.42,16.9
458284.6,3640141.43,21.080000000000002
458283.92,3640141.43,16.75
458283.67,3640141.43,15.22
458284.35,3640141.44,22.31
458283.24,3640141.44,15.450000000000001
458282.81,3640141.44,12.76
458283.96,3640141.45,22.64
458282.36,3640141.46,15.73
